"entitles","enextracts","detitles","deextracts"
"Python (programming language)","Python is a widely used general-purpose, high-level programming language. Its design philosophy emphasizes code readability, and its syntax allows programmers to express concepts in fewer lines of code than would be possible in languages such as C++ or Java. The language provides constructs intended to enable clear programs on both a small and large scale.
Python supports multiple programming paradigms, including object-oriented, imperative and functional programming or procedural styles. It features a dynamic type system and automatic memory management and has a large and comprehensive standard library.
Python interpreters are available for installation on many operating systems, allowing Python code execution on a wide variety of systems. Using third-party tools, such as Py2exe or Pyinstaller, Python code can be packaged into stand-alone executable programs for some of the most popular operating systems, allowing for the distribution of Python-based software for use on those environments without requiring the installation of a Python interpreter.
CPython, the reference implementation of Python, is free and open-source software and has a community-based development model, as do nearly all of its alternative implementations. CPython is managed by the non-profit Python Software Foundation.","Python (Programmiersprache)","Python [ˈpaɪθn̩, ˈpaɪθɑn, auf Deutsch auch ˈpyːtɔn] ist eine universelle, üblicherweise interpretierte höhere Programmiersprache. Ihre Entwurfsphilosophie betont Programmlesbarkeit, sodass Python-Code im Vergleich mit anderssprachigem Code teilweise deutlich kürzer ist. Zur besseren Lesbarkeit soll auch der Verzicht auf Klammern zur Bildung von Code-Blöcken dienen, da die Programmstruktur durch Einrückungen gebildet wird.
Python unterstützt mehrere Programmierparadigmen, z. B. die objektorientierte, die aspektorientierte und die funktionale Programmierung. Ferner bietet es eine dynamische Typisierung. Wie viele dynamische Sprachen wird Python oft als Skriptsprache genutzt.
Die Sprache hat ein offenes, gemeinschaftsbasiertes Entwicklungsmodell, das durch die gemeinnützige Python Software Foundation, die de facto die Definition der Sprache in der Referenzumsetzung CPython pflegt, gestützt wird.
Python gilt als einfach zu erlernende Sprache, da sie über eine klare und übersichtliche Syntax verfügt. Ferner besitzt sie eine umfangreiche Programmbibliothek, gerade in Bezug auf Webentwicklungen.
↑ Python License
↑ What is Python Good For?. In: General Python FAQ. Python Foundation. Abgerufen am 5. September 2008.
↑ What is Python? Executive Summary. In: Python documentation. Python Foundation. Abgerufen am 21. März 2007."
"Babelsberg","Babelsberg is the largest district of the Brandenburg capital Potsdam in Germany. The affluent neighbourhood named after a small hill on the Havel river is famous for Babelsberg Palace and Park, part of the Palaces and Parks of Potsdam and Berlin UNESCO World Heritage Site, as well as for Babelsberg Studio, a historical centre of the German film industry and the first large-scale movie studio of the world.","Babelsberg","Babelsberg ist der größte Stadtteil Potsdams. Weltweit steht Babelsberg als Synonym für die Medienstadt Babelsberg, ein Gebiet innerhalb des Stadtteils, in dem sich das Filmstudio, der Filmpark, der Hauptsitz und Studios des RBB, die Filmuniversität Konrad Wolf, das Babelsberger Filmgymnasium (BFG) und zahlreiche weitere Institutionen und Unternehmen der Medienbranche befinden. Bedeutung über die Grenzen Potsdams hinaus hat Babelsberg auch durch den ehemals kaiserlichen Park Babelsberg mit dem namensgebenden Berg (früher auch Pavelberg, Babertsberg, Boberow aus dem Slawischen „Ort, wo es Biber gibt“; spätere Namensanlehnung an das biblische Babel), und dem darin befindlichen Schloss Babelsberg, den bis 1938 Nowawes genannten zentralen Ortsteil, sowie weitere historische Bauten und die ab 1871 entstandene Villenkolonie Neubabelsberg als Viertel der Stars. Neben der Bekanntheit als Film- und Medienstandort sorgt auch der lokale Fußballverein Babelsberg 03 im Karl-Liebknecht-Stadion für überregionale Aufmerksamkeit. Nach der Bildung der Stadt 1938 unter diesem neuen Namen wurde Babelsberg selbst bereits 1939 nach Potsdam eingemeindet."
"Bergpark Wilhelmshöhe","Bergpark Wilhelmshöhe is a unique landscape park in Kassel, Germany. Art historian Georg Dehio (1850–1932), inspirator of the modern discipline of historic preservation, described the park as ""possibly the most grandiose combination of landscape and architecture that the Baroque dared anywhere"" (""vielleicht das Grandioseste, was irgendwo der Barock in Verbindung von Architektur und Landschaft gewagt hat."").
The area of the park is 2.4 square kilometres (590 acres), making it the largest European hillside park, and second largest park on a mountain slope in the world. Construction of the Bergpark, or ""mountain park"", began in 1696 at the behest of the Landgraves of Hesse-Kassel and took about 150 years.","Bergpark Wilhelmshöhe","Der Bergpark Wilhelmshöhe im nordhessischen Kassel ist mit einer Fläche von 2,4 Quadratkilometern der größte Bergpark in Europa und ein Landschaftspark von Weltgeltung. Am 23. Juni 2013 wurde er als UNESCO-Weltkulturerbe anerkannt."
"ATS (programming language)","ATS (Applied Type System) is a programming language designed to unify programming with formal specification. There is support in ATS for combining theorem proving with practical programming through the use of advanced type systems. The performance of ATS has been demonstrated to be comparable to that of the C and C++ programming languages. By using theorem proving and strict type checking, the compiler can detect and prove that its implemented functions are not susceptible to bugs such as division by zero, memory leaks, buffer overflow, and other forms of memory corruption by verifying pointer arithmetic and reference counting before the program compiles. Additionally, by using the integrated theorem-proving system of ATS (ATS/LF), the programmer may make use of static constructs that are intertwined with the operative code to prove that a function attains its specification.","Applied Type System","Applied Type System (ATS) ist eine Programmiersprache, die derzeit an der Universität Boston entwickelt wird. Der Schwerpunkt liegt auf einem ausdrucksstarken Typsystem mit Abhängigen Typen (Dependent Types) und Linearen Typen. Dieses ermöglicht unter anderem die Verifikation bestimmter Eigenschaften des Programms durch die explizite Konstruktion von Beweisen, sowie die Verwaltung von Ressourcen wie dynamisch allokiertem Speicher, geöffneten Dateien usw. Weitere Ziele sind eine gute Interoperabilität mit C, eine mit C vergleichbare Effizienz und die Eignung zur Systemprogrammierung."
"NewLISP","newLISP is an open source scripting language in the Lisp family of programming languages developed by Lutz Mueller and released under the GNU General Public License.","NewLISP","Die Programmiersprache NewLISP (dt: neu(es)LISP) ist ein freier Lisp-Dialekt, der vor allem für die Verwendung als Skriptsprache vorgesehen ist. Hierzu geht die Sprache einen eigenen Weg , abseits von klassischen Lisp-Implementierungen, wie etwa dem Industriestandard Common Lisp, oder dem eher im akademischen Umfeld verbreiteten Dialekt Scheme.
↑ FAQ. Abgerufen am 17. Oktober 2011 (englisch).  auf newlisp.org. Abgerufen am 17. Oktober 2011 (englisch). 
↑ A look at newLISP"
"Glienicke Palace","Glienicke Palace (German: Schloss Glienicke) is located on the peninsula of Berlin-Wannsee, near the Glienicke Bridge, on the B1 across from the Glienicke Hunting Lodge. It was designed by Karl Friedrich Schinkel for Prince Carl of Prussia in 1826, The building, originally merely a cottage, was turned into a summer palace in the late classical style. Particularly striking are two golden lion statues in front of the frontage, which were also designed by Schinkel. The lions are versions of the Medici lions from the Villa Medici. In the palace are antique objets d'art, which the Prince brought back from his trips. The palace's park is now called the Volkspark Glienicke. The palace and park are UNESCO World Heritage sites as part of the Palaces and Parks of Potsdam and Berlin since 1990.","Schloss Glienicke","Schloss Glienicke war das Sommerschloss des Prinzen Carl von Preußen. Es liegt im Südwesten Berlins an der Grenze zu Potsdam nahe der Glienicker Brücke im Ortsteil Wannsee des Bezirks Steglitz-Zehlendorf. Verwaltet von der Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg, ist das Schloss inmitten des Landschaftsparks Klein Glienicke zentraler Bestandteil eines Gebäudeensembles von architektur-, kunst- und kulturgeschichtlich bedeutenden Bauten aus der ersten Hälfte des 19. Jahrhunderts, die seit 1990 als Weltkulturerbe unter dem Schutz der UNESCO stehen.
Die heutige klassizistische Form des ehemaligen Gutshauses aus dem Jahr 1753, mit dem Anspruch einer italienischen Villa, geht auf Umbauten und Erweiterungen zurück, die der Architekt Karl Friedrich Schinkel 1825 vornahm. Nach dem Tod Prinz Carls 1883 verwahrloste das Gebäude zusehends. Während des Zweiten Weltkriegs erfolgte eine Fremdnutzung als Lazarett und nach dem Krieg kurzzeitig als Offizierskasino der Roten Armee. Ab den 1950er Jahren beherbergten das Schloss und die anschließenden Nebengebäude ein Sporthotel und ab 1976 eine Heimvolkshochschule. Seit Ende der 1980er Jahre wird das Schloss als Museum genutzt, das Schinkel-Möbel und Kunstgegenstände ausstellt, die zum großen Teil aus dem Besitz des Prinzen Carl stammen. Im Westflügel eröffnete zudem im April 2006 das erste Hofgärtnermuseum Europas, das die Geschichte der preußischen Hofgärtner zeigt."
"Roman Monuments, Cathedral of St. Peter and Church of Our Lady in Trier UNESCO World Heritage Site","The Roman Monuments, Cathedral of St. Peter and Church of Our Lady in Trier, Germany was listed as a UNESCO World Heritage Site in 1986.
From UNESCO/CLT/WHC:
""Trier is an example of a large Roman capital after the division of the empire. The remains of the Imperial Palace, in addition to the Aula Palatina and the Imperial Thermae, are impressive in their dimensions. The city bears exceptional testimony to Roman civilization owing to the density and the quality of the monuments preserved: the bridge, the remains of the fortified wall, thermae, amphitheatre, storehouses, etc. In particular, funerary art and the craftsmanship of potters, glassworkers, and moneyers flourished in the city.""","Welterbe Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier","Das Welterbe Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier bezeichnet eine Reihe von römischen und mittelalterlichen Kulturdenkmälern in Trier sowie in der Trierer Nachbargemeinde Igel, die 1986 in die Liste des Weltkulturerbes der UNESCO aufgenommen wurden. Das im Jahr 16 v. Chr. als Augusta Treverorum gegründete Trier besticht durch die Vielzahl von in guter Qualität erhaltenen römischen Bauwerken. Auch die auf den römischen Fundamenten im Mittelalter erbauten christlichen Nachfolgebauten wurden mit in die Liste aufgenommen.
Am 1. Oktober 2009 wurde eine 100-€-Goldmünze mit dem Motiv „UNESCO Welterbe – Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier“ herausgegeben."
"Reichenau Island","Reichenau Island is an island in Lake Constance in southern Germany, at approximately 47°42′N 9°4′E. It lies between Gnadensee and Untersee, two parts of Lake Constance, almost due west of the city of Konstanz. The island is connected to the mainland by a causeway that was completed in 1838. The causeway is interrupted between the site of the former castle Schopflen and the eastern end of Reichenau Island by the 10-metre-wide Bruckgraben, a waterway which is spanned by a low road bridge that allows passage of ordinary boats but not of sailboats through its 95-metre course. Its total area is less than 7 square kilometers (3 square miles). The highest elevation on the island, the Hochwart, reaches 438.7 metres, or 43 metres above the lake surface.
It was declared a World Heritage Site in 2000 because of its monastery, the Abbey of Reichenau. The abbey's Münster is dedicated to the Virgin and Saint Mark. Two further churches were built on the island consecrated to St Georg, and to Sts Peter and Paul. The famous artworks of Reichenau include the Ottonian murals of miracles of Christ in St Georg, unique survivals from the 10th century. The abbey's bailiff was housed in a two-storey stone building that was raised by two more storeys of timber framing in the 14th century, one of the oldest timber-frame buildings in south Germany.
Among the Abbey's far-flung landholdings was Reichenau, a village on the upper Rhine in the municipality of Tamins in the canton of Graubünden, Switzerland, named for the Abbey.
Today the island is also famous for its vegetable farms. The Wollmatinger Ried next to the island is a big nature preserve, a wetland area of reeds which is used by many birds for the stopover during their annual migration.","Reichenau (Insel)","Reichenau (alemannisch: Riichenau) ist eine bewohnte Insel im Landkreis Konstanz in Baden-Württemberg und die größte Insel im Bodensee. Seit 2000 ist sie mit dem Kloster Reichenau auf der UNESCO-Liste des Welterbes verzeichnet. Die Insel sei, so die UNESCO in ihrer Begründung, ein herausragendes Zeugnis der religiösen und kulturellen Rolle eines großen Benediktinerklosters im Mittelalter."
"Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of Germany","Primeval Beech Forests of the Carpathians and the Ancient Beech Forests of Germany is a transnational composite nature site. The Primeval Beech Forests of the Carpathians include ten separate massifs located along the 185 km (115 mi) long axis from the Rakhiv mountains and Chornohora ridge in Ukraine over the Poloniny Ridge (Slovakia) to the Vihorlat Mountains in Slovakia. The Ancient Beech Forests of Germany include five locations in various parts of Germany
The Carpathian site covers a total area of 77,971.6 ha (192,672 acres), out of which only 29,278.9 ha (72,350 acres) are part of the actual preserved area, while the rest is considered a ""buffer zone"". Primeval Beech Forests of the Carpathians cover areas of Zakarpattia and Prešov Regions. Over 70% of the site is located in Ukraine. The area includes two national parks, a biosphere reserve, and a few habitat controlled areas (mostly in Slovakia). Both national parks, along with a neighboring area in Poland, compose a separate biosphere reserve, the East Carpathian Biosphere Reserve.
Besides Havešová, Rožok, and Stužica (all of them located in Bukovské vrchy), there is a fourth component situated in Slovakia, named Kyjovský prales of Vihorlat.
Ukrainian locations include Chornohora, Kuziy-Trybushany, Maramarosh, Stuzhytsia–Uzhok, Svydovets, and Uholka–Shyrikyi Luh. However, only few of the ten components are accessible to visitors. Stužica is the only one of three locations in Bukovské vrchy (Slovakia) with available hiking trails.
The five German forests cover 4,391 hectares and were added in 2011.
Most of the Slovak components of the World Heritage site are situated in the Poloniny National Park in the easternmost and also the least populated part of the country. The National Park was created on 1 October 1997 with a protected area of 298.05 km² and a buffer zone of 109.73 km².

","Buchenurwälder in den Karpaten und alte Buchenwälder in Deutschland","Unter der Bezeichnung Buchenurwälder in den Karpaten und alte Buchenwälder in Deutschland führt die UNESCO 15 räumlich getrennte Buchenwaldgebiete in Deutschland, der Slowakei und der Ukraine mit einer Gesamtfläche von 33.671 ha als Weltnaturerbe. In Deutschland handelt es sich bis auf winzige urwaldartige Reliktflächen um naturnahe Altwälder, während die Bestände in den Karpaten als echte Urwälder bezeichnet werden, obwohl es sich auch hier eher um „urwaldartige Naturwälder"" handelt, die in der Geschichte durchaus ab und zu genutzt wurden."
"Bamberg","Bamberg (German pronunciation: [ˈbambɛɐ̯k]) is a town in Bavaria, Germany, located in Upper Franconia on the river Regnitz close to its confluence with the river Main. Its historic city center is a listed UNESCO world heritage site.","Bamberg","Bamberg (mittelalterlich: Babenberg, bambergisch: „Bambärch“) ist eine kreisfreie Stadt im bayerischen Regierungsbezirk Oberfranken und Standort des Landratsamtes Bamberg. Bamberg ist Universitäts-, Schul- und Verwaltungsstadt, wichtiges Wirtschaftszentrum Oberfrankens sowie Sitz des gleichnamigen Erzbistums. Die Stadt ist in der Landesplanung als Oberzentrum des westlichen Oberfrankens ausgewiesen und zählt zur Metropolregion Nürnberg. Die Stadt beherbergt etwa 71.000, die Agglomeration rund 117.000 Einwohner.
Die Altstadt ist der größte unversehrt erhaltene historische Stadtkern in Deutschland und seit 1993 als Weltkulturerbe in die Liste der UNESCO eingetragen. Darüber hinaus ist Bamberg überregional bekannt für seine vielfältige Biertradition."
"Curl (programming language)","Curl is a reflective object-oriented programming language for interactive web applications whose goal is to provide a smoother transition between formatting and programming. It makes it possible to embed complex objects in simple documents without needing to switch between programming languages or development platforms.
Curl combines text markup (as in HTML), scripting (as in JavaScript), and heavy-duty computing (as in Java, C#, or C++) within one unified framework. It is used in a range of internal enterprise, B2B, and B2C applications.
Curl programs may be compiled into Curl applets, that are viewed using the Curl RTE, a runtime environment with a plugin for web browsers. Currently, it is supported on Microsoft Windows, Linux, and Mac OS X. Curl supports ""detached applets"", which is a web deployed applet which runs on the user's desktop independent of a browser window much as in Silverlight 3 and Adobe AIR.

","Curl (Programmiersprache)","Curl ist eine Multiparadigmen-Programmiersprache, die entwickelt wurde, um bessere Internetanwendungen schreiben zu können. Es fließen Elemente aus Markupsprache, Skript- und objektorientierter Sprache ein.
Curl wird seit 1995 entwickelt. Die erste öffentliche Version erschien im Jahr 2000. Inzwischen liegt Curl in der Version 11.0 vor und wird von den Mitarbeitern der Firma Curl, Inc. weiterentwickelt. Curl, Inc. ist eine hundertprozentige Tochter des japanischen Unternehmens Sumisho Computer Systems.
Die Stärken werden vor allem im Bereich von datenintensiven Unternehmensanwendungen gesehen.
Curl-Anwendungen gehören in der Regel zur Gruppe der Rich Internet Applications. Anwendungen, die direkt aus dem Internet geladen oder lokal installiert wurden, werden in der gleichen sicheren Sandbox ausgeführt. Sie können online oder offline ausgeführt werden.
Es wird ein Plug-In (Curl Surge RTE) benötigt, das auf der Webseite des Herstellers zum Herunterladen zur Verfügung gestellt wird. Außerdem stellt das Unternehmen einen Curl-Editor (Curl Surge Lab IDE) für die Programmierung zur Verfügung, der eine umfangreiche Dokumentation in englischer Sprache enthält.
Curl ist nicht zu verwechseln mit dem gleichnamigen cURL, einem Download-Manager."
"Weimar","Weimar (German pronunciation: [ˈvaɪmaɐ]) is a city in the federal state of Thuringia, Germany. It is located between Erfurt in the west and Jena in the east, approximately 80 kilometres (50 miles) southwest of Leipzig, 170 kilometres (106 miles) north of Nuremberg and 170 kilometres (106 miles) west of Dresden. Together with the neighbour-cities Erfurt and Jena it forms the central metropolitan area of Thuringia with approximately 500,000 inhabitants, whereas the city itself counts a population of 65,000. Weimar is well known because of its large cultural heritage and its importance in German history.
The city was a focal point of the German Enlightenment and home of the leading characters of the literary genre of Weimar Classicism, the writers Johann Wolfgang von Goethe and Friedrich Schiller. In the 19th century, famous composers like Franz Liszt made a music centre of Weimar and later, artists and architects like Henry van de Velde, Wassily Kandinsky, Paul Klee, Lyonel Feininger and Walter Gropius came to the city and founded the Bauhaus movement, the most important German design school of the interwar period. However, the political history of 20th-century Weimar was inconsistent: it was the place where Germany's first democratic constitution was signed after the First World War, giving its name to the Weimar Republic period in German politics (1918–1933), as well as one of the cities that got mythologized by the National Socialist propaganda.
Until 1948, Weimar was the capital of Thuringia. Today, many places in the city centre have been designated as UNESCO World Heritage sites (either as part of the Weimar Classicism complex or as part of the Bauhaus complex) and tourism is one of the leading economic sectors of Weimar. Relevant institutions in Weimar are the Bauhaus University, the Liszt School of Music, the Duchess Anna Amalia Library and two leading courts of Thuringia (Supreme Administrative Court and Constitutional Court). In 1999, Weimar was the European Capital of Culture.","Weimar","Weimar ist eine kreisfreie Stadt in Thüringen in Deutschland, die vor allem für ihr kulturelles Erbe bekannt ist. Weimar liegt an einem Bogen der Ilm südöstlich des Ettersberges, des mit 478 Metern höchsten Berges im Thüringer Becken. Die Stadt ist nach Erfurt, Jena und Gera die viertgrößte Thüringens und liegt etwa auf halbem Wege zwischen Erfurt im Westen und Jena im Osten.
Weimar ist ein Mittelzentrum, das zum Teil Funktionen eines Oberzentrums erfüllt und seit 2004 offiziell als Universitätsstadt bezeichnet wird. Neben der Bauhaus-Universität beherbergt die Stadt die Hochschule für Musik Franz Liszt und die Herzogin Anna Amalia Bibliothek. Außerdem haben in Weimar zahlreiche Behörden ihren Sitz, zum Beispiel das Thüringer Oberverwaltungsgericht, der Thüringer Verfassungsgerichtshof und das Thüringische Landesamt für Denkmalpflege und Archäologie.
Zum kulturellen Erbe der Stadt gehören neben den Traditionen der Weimarer Klassik um Wieland, Goethe, Herder und Schiller auch das Bauhaus und die Nationalversammlung von 1919, von der sich der Name der Weimarer Republik herleitet. Das „klassische Weimar“ wurde im Dezember 1998 von der UNESCO zum Weltkulturerbe erklärt. Die Entscheidung wurde begründet mit der „großen kunsthistorischen Bedeutung öffentlicher und privater Gebäude und Parklandschaften aus der Blütezeit des klassischen Weimar.“
Außerdem war Weimar seit 1572 Hauptstadt von Sachsen-Weimar, später Sachsen-Weimar-Eisenach. Dies war der erste Staat Deutschlands, der sich eine Verfassung gab (1816). Von 1920 bis 1948 war Weimar die Hauptstadt des Landes Thüringen. 1999 war sie Kulturhauptstadt Europas.
↑ Thüringer Landesamt für Statistik – Bevölkerung der Gemeinden, erfüllenden Gemeinden und Verwaltungsgemeinschaften nach Geschlecht in Thüringen (Hilfe dazu)
↑ vgl. Deutsche UNESCO-Kommission e.V.: Klassisches Weimar, Internetseite"
"Liebfrauenkirche, Trier","The Liebfrauenkirche (German for Church of Our Lady) in Trier, is, along with the Cathedral of Magdeburg (reportedly begun in 1209, but finished after the Liebfrauenkirche) the earliest Gothic church in Germany and falls into the architectural tradition of the French Gothic cathedrals. It is located next to the Trier Dom. It is designated as part of the Roman Monuments, Cathedral of St. Peter and Church of Our Lady in Trier UNESCO World Heritage Site.","Liebfrauenkirche (Trier)","Die Liebfrauenkirche in Trier befindet sich unmittelbar neben dem Trierer Dom im Zentrum der Stadt. Sie gilt zusammen mit der Elisabethkirche in Marburg als älteste gotische Kirche in Deutschland und als bedeutendster und frühester gotischer Zentralbau des Landes.

Seit 1986 ist die Liebfrauenkirche Teil des UNESCO-Welterbes Römische Baudenkmäler, Dom und Liebfrauenkirche in Trier."
"F Sharp (programming language)","F# (pronounced eff sharp) is a strongly typed, multi-paradigm programming language that encompasses functional, imperative, and object-oriented programming techniques. F# is most often used as a cross-platform CLI language, but can also be used to generate JavaScript and GPU code.
F# is developed by the F# Software Foundation, Microsoft and open contributors. An open source, cross-platform compiler for F# is available from the F# Software Foundation. F# is also a fully supported language in Visual Studio and Xamarin Studio. Other tools supporting F# development include Mono, MonoDevelop, SharpDevelop and WebSharper.
F# originated from ML and has been influenced by OCaml, C#, Python, Haskell, Scala and Erlang.","F-Sharp","F# (lies: F sharp; englische Aussprache [ɛf: ʃɑrp]) ist eine funktionale Programmiersprache von Microsoft für das .NET-Framework. F# ist mit den Sprachen OCaml und ML verwandt, die Syntax der Sprachen ähneln sich daher stark. Viele OCaml-Programme, die ungewöhnliche Konstrukte und Caml-spezifische Bibliotheken vermeiden, können deswegen ohne Änderung mit F# kompiliert werden.
Neben den Bestandteilen der funktionalen Programmierung sind in F# objektorientierte sowie imperative Sprachkonstrukte enthalten.
Ursprünglich wurde F# als Forschungsprojekt von Microsoft Research entwickelt, derzeit wird es von Microsofts Entwicklungsabteilung fortgeführt. F# wird als Teil von Visual Studio 2010 erstmals offiziell unterstützt und mit ausgeliefert. Außerdem ist es auch als Erweiterung zu Visual Studio 2008 erhältlich. Im November 2010 wurde F# sowie zugehörige Compiler und Bibliotheken unter der Apache-Lizenz 2.0 freigegeben."
"Lutherhaus","The Lutherhaus in Lutherstadt Wittenberg, begun in 1504 as part of the University of Wittenberg, was the home of Martin Luther for most of his adult life and a significant location in the history of the Protestant Reformation. Luther was living here when he wrote his 95 Theses. The Augusteum is an expansion to the original building that was constructed after Luther's death to house a Protestant seminary and library which still exist today. Since 1994, both buildings have been recognized as UNESCO World Heritage Sites.","Augusteum und Lutherhaus Wittenberg","Das Augusteum entstand als Erweiterungsbau der Universität Wittenberg Leucorea. Der repräsentative Schaufassadenbau beherbergte bis 2012 das evangelische Predigerseminar. Dessen Bibliothek befindet sich auch während der derzeitigen Sanierungsarbeiten weiterhin dort. Vom Eingangsportal des Augusteums gelangt man in den Innenhof, wo sich früher der botanische Garten der Universität befand, und erblickt das ehemalige Wohnhaus Martin Luthers. Heute befinden sich in dem Gebäude das reformationsgeschichtliche Museum und seine umfangreichen Sammlungen von Bildern, Schriften und Exponaten der Reformationszeit. Seit 1996 ist das Lutherhaus, das bis dahin offiziell Lutherhalle hieß, Bestandteil der Reformationsstätten der Lutherstadt Wittenberg Weltkulturerbe der UNESCO."
"Limes","A limes (/ˈlaɪmiːz/; Latin pl. limites) was a border defence or delimiting system of Ancient Rome. It marked the boundaries of the Roman Empire.
The Latin noun limes had a number of different meanings: a path or balk delimiting fields, a boundary line or marker, any road or path, any channel, such as a stream channel, or any distinction or difference.
The word limes was utilized by Latin writers to denote a marked or fortified frontier. This sense has been adapted and extended by modern historians concerned with the frontiers of the Roman Empire: e.g. Hadrian's Wall in the north of England is sometimes styled the Limes Britannicus, the frontier of the Roman province of Arabia facing the desert is called the Limes Arabicus, and so forth.
This was the traditional definition and usage of the term. It is now more common to accept that limes was not a term used by the Romans for the imperial frontier, fortified or not. This is a modern, anachronistic interpretation. The term became common after the 3rd century AD, when it denoted a military district under the command of a dux limitis. Some experts suggested that the limes may actually have been called Munimentum Traiani, Trajan's Bulwark, referring to a passage by Ammianus Marcellinus according to which emperor Julian had reoccupied this fortification in 360 AD.","Limes (Grenzwall)","Limes (lateinisch ursprünglich „Querweg“, „Schneise“, vor allem „Grenzweg“ im Zusammenhang mit der Einteilung eines Raumes oder der Erschließung eines Geländes, später allgemein „Grenze“; Plural limites) bezeichnen die vom Römischen Reich vom 1. bis 6. Jahrhundert n. Chr. angelegten Grenzwälle oder militärischen Grenzsicherungssysteme in Europa, Vorderasien und Nordafrika. Es wird auch für spätere vergleichbare Grenzziehungen (Limes Saxoniae) oder Überwachungsanlagen an Reichsgrenzen verwendet. Der Begriff leitet sich ursprünglich von den lateinischen Wörtern limus „quer“ und limen „Türschwelle“ ab. Anfänglich verstanden die Römer unter diesem Begriff nur ein Feld oder einen Acker, die mit Grenzsteinen (termini), Holzpfosten oder durch klar erkennbare Landmarken (Bäume, Flüsse) begrenzt wurden. Ab der Zeit Gaius Iulius Caesars wurden Heerwege mit befestigten Wachtposten und Marschlagern auf einer Waldschneise (siehe auch weiter unten) oder rasch angelegten Straßen im Feindesland als Limes bezeichnet.
Wo keine natürlichen Grenzmarkierungen wie Flüsse oder Gebirge vorhanden waren, kennzeichneten die Römer ihre Reichsgrenzen durch limites. Diese wiesen unterschiedliche Ausprägungen auf, sie waren abhängig von den natürlichen Gegebenheiten, der Siedlungsdichte und der Bedrohungslage vor Ort. Sie alle wurden von römischen Truppen überwacht. In Nordafrika und im Osten bildeten dabei mehr oder weniger lockere Ketten von Kastellen und Wachtürmen den Limes. An Rhein, Donau, Euphrat und Tigris markierten die Wasserläufe der Flüsse die Grenze. Dieser Limes wird heute auch als „Flusslimes“ oder „nasser Limes“ bezeichnet, die Römer selbst sprachen von einer ripa (lateinisch für „Ufer“). Ein Abschnitt des rätischen Limes in seiner letzten Ausbaustufe und der britannische Hadrianswall bestanden sogar aus durchgehenden und mit Wachtürmen versehenen Steinmauern anstatt hölzerner Palisaden wie in Obergermanien und Rätien. In der Spätantike gaben die Römer diese geschlossenen Wall- und Palisadenanlagen dann in der Regel aber auf und gingen dazu über, die Limites durch Kastelle unterschiedlicher Größe zu sichern, wie es in einigen anderen Grenzgebieten schon immer üblich war.
Die römischen Grenzanlagen waren nicht zur Abwehr von größeren Angriffen gedacht und dazu auch meist nicht geeignet. Sie sollten primär die Kontrolle bzw. Kanalisierung des täglichen Waren- und Personenverkehrs und eine schnelle Nachrichtenübermittlung zwischen den Wachposten gewährleisten. Neben der Funktion als militärisches „Frühwarnsystem“ dienten die limites vor allem als Zollgrenzen und ihre Grenzübergänge als „Marktplätze“ für den Außenhandel mit dem Barbaricum. Die bekanntesten Limites sind der Obergermanisch-Rätische Limes in Deutschland, mit 550 km das längste Bodendenkmal Europas, und der Hadrianswall in Großbritannien."
"Museum Island","Museum Island (German: Museumsinsel) is the name of the northern half of an island in the Spree river in the central Mitte district of Berlin, Germany, the site of the old city of Cölln. It is so called for the complex of five internationally significant museums, all part of the Berlin State Museums, that occupy the island's northern part:
The Altes Museum (Old Museum) completed on the orders of Karl Friedrich Schinkel in 1830.
The Neues Museum (New Museum) finished in 1859 according to plans by Friedrich August Stüler, a student of Schinkel. Destroyed in World War II, it was rebuilt under the direction of David Chipperfield for the Egyptian Museum of Berlin and re-opened in 2009.
The Alte Nationalgalerie (Old National Gallery) completed in 1876, also according to designs by Friedrich August Stüler, to host a collection of 19th-century art donated by banker Joachim H. W. Wagener
The Bode Museum on the island's northern tip, opened in 1904 and then called Kaiser-Friedrich-Museum. It exhibits the sculpture collections and late Antique and Byzantine art.
The Pergamon Museum, the final museum of the complex, constructed in 1930. It contains multiple reconstructed immense and historically significant buildings such as the Pergamon Altar and the Ishtar Gate of Babylon.
In 1999, the museum complex was added to the UNESCO list of World Heritage Sites.","Museumsinsel (Berlin)","Die Museumsinsel ist die nördliche Spitze der Spreeinsel in der historischen Mitte von Berlin. Sie ist die Keimzelle der Berliner Museumslandschaft und mit ihren Museen heute ein vielbesuchter touristischer Anlaufpunkt und einer der wichtigsten Museumskomplexe der Welt. Seit 1999 gehört die Museumsinsel als weltweit einzigartiges kulturelles und bauliches Ensemble zum UNESCO-Welterbe."
